Year,Named Storms,Named Storm Days,Hurricanes,Hurricane Days,Major Hurricanes,Major Hurricane Days,Accumulated Cyclone Energy
2006,10,58,5,21.25,2,2,83
2007,15,37.75,6,12.25,2,6,74
2008,16,88.25,8,30.5,5,7.5,146
2009,9,30,3,12,2,3.5,53
2010,19,89.5,12,38.5,5,11,165
2011,19,89.75,7,26,4,4.5,126
2012,19,101.25,10,28.5,2,0.5,133
2013,14,42.25,2,3.25,0,0,36
2014,8,35,6,17.75,2,3.75,67
2015,11,43.5,4,12,2,4,63
2016,15,81,7,27.75,4,10.25,141
